Ward,Road_Type,No_of_vehicles_involved,Time_Range,Month_Num,Nepali_Season,Weather_Clear,Weather_Cold,Weather_Cool,Weather_Dry,Weather_Dusty,Weather_Foggy,Weather_Frosty,Weather_Hot,Weather_Humid,Weather_Mild,Weather_Overcast,Weather_Pleasant,Weather_Rainy,Weather_Thunderstorm,Weather_Warm,Weather_Windy,Severity,Ward_Location_Risk
14,0,1,3,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0032858707557502
13,1,1,2,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0744797371303395
5,1,2,3,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0021905805038335
18,1,1,1,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0197152245345016
15,0,2,2,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.044906900328587
14,1,1,2,8,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0843373493975903
15,1,1,2,8,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.044906900328587
16,1,2,1,8,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0230010952902519
13,1,2,2,8,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0744797371303395
3,0,1,3,8,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0262869660460021
19,1,1,3,8,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0175246440306681
6,1,2,1,8,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0175246440306681
4,0,1,2,8,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0350492880613362
14,1,1,3,8,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0843373493975903
16,1,1,2,8,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0230010952902519
16,1,1,3,8,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0230010952902519
13,1,2,2,8,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0744797371303395
19,0,1,3,8,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0175246440306681
4,0,2,2,8,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.013143483023001
14,1,1,2,8,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0843373493975903
4,0,2,3,8,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0350492880613362
12,0,1,2,8,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0197152245345016
6,1,1,3,8,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0175246440306681
16,1,2,1,8,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0010952902519167
3,0,2,1,8,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0262869660460021
16,1,1,2,8,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0230010952902519
18,1,1,2,8,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0197152245345016
19,1,1,3,8,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0175246440306681
14,0,1,0,8,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0843373493975903
7,1,2,3,8,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.013143483023001
16,1,2,2,8,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0230010952902519
14,0,1,2,8,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0843373493975903
1,1,2,2,8,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0098576122672508
14,0,2,2,8,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0843373493975903
7,1,1,2,8,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.013143483023001
3,0,2,1,8,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0262869660460021
16,1,1,3,8,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0230010952902519
10,1,1,2,8,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0109529025191675
13,0,1,2,8,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0744797371303395
4,1,2,2,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0350492880613362
3,0,2,1,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0262869660460021
4,0,2,2,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0350492880613362
6,1,1,3,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0175246440306681
14,0,2,2,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0843373493975903
4,1,1,2,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0350492880613362
8,1,2,1,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.004381161007667
1,1,1,3,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0098576122672508
9,1,2,3,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.008762322015334
8,1,2,3,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0109529025191675
14,0,2,2,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0843373493975903
4,0,1,3,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0350492880613362
12,1,1,2,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0032858707557502
3,1,1,3,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0142387732749178
19,1,1,2,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0175246440306681
3,0,1,2,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0076670317634173
14,0,2,2,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0843373493975903
1,1,2,2,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0098576122672508
14,0,1,0,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0843373493975903
12,1,1,0,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0032858707557502
6,1,2,0,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0175246440306681
4,0,2,2,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0350492880613362
4,0,1,2,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0350492880613362
3,1,2,0,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0262869660460021
2,0,1,0,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0054764512595837
6,1,2,2,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0175246440306681
18,1,2,3,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0197152245345016
11,1,2,3,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0010952902519167
17,1,1,1,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0164293537787513
1,1,1,2,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.008762322015334
13,0,2,3,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0744797371303395
14,0,2,2,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0843373493975903
14,1,2,2,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0843373493975903
12,0,2,2,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0032858707557502
4,0,2,2,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0350492880613362
2,0,2,3,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.004381161007667
16,1,1,2,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0230010952902519
19,1,1,3,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0175246440306681
9,1,2,2,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0010952902519167
3,0,1,3,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0262869660460021
14,0,1,3,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0843373493975903
13,1,2,3,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0744797371303395
4,1,1,3,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0350492880613362
7,1,1,3,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.013143483023001
13,1,1,3,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0744797371303395
4,0,1,0,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0350492880613362
1,1,1,2,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.008762322015334
14,0,2,2,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0843373493975903
16,1,1,3,9,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0230010952902519
3,0,2,3,10,5,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0065717415115005
10,1,2,1,10,5,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0109529025191675
9,0,1,2,10,5,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.008762322015334
14,0,2,1,10,5,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0843373493975903
18,1,1,2,10,5,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0197152245345016
11,1,2,1,10,5,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.004381161007667
4,0,2,3,10,5,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0350492880613362
13,0,4,3,10,5,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0744797371303395
